Function,NCalls,TotTime,PercallTot,CumTime,PercallCum,Filename,Line,FuncName
~:0:<built-in method math.sqrt>,51,3.24e-05,6.352941176470589e-07,3.24e-05,6.352941176470589e-07,~,0,<built-in method math.sqrt>
~:0:<built-in method nt.getpid>,52,2.44e-05,4.692307692307692e-07,2.44e-05,4.692307692307692e-07,~,0,<built-in method nt.getpid>
~:0:<built-in method nt._getfullpathname>,1,6.900000000000001e-06,6.900000000000001e-06,6.900000000000001e-06,6.900000000000001e-06,~,0,<built-in method nt._getfullpathname>
~:0:<built-in method nt._path_normpath>,1,1.3e-06,1.3e-06,1.3e-06,1.3e-06,~,0,<built-in method nt._path_normpath>
~:0:<built-in method nt.fspath>,366,6.14e-05,1.6775956284153005e-07,6.14e-05,1.6775956284153005e-07,~,0,<built-in method nt.fspath>
~:0:<method 'acquire' of '_thread.lock' objects>,63755,15.7823816,0.00024754735471727707,15.7823816,0.00024754735471727707,~,0,<method 'acquire' of '_thread.lock' objects>
~:0:<method 'release' of '_thread.lock' objects>,25502,0.0028432,1.1148929495725827e-07,0.0028432,1.1148929495725827e-07,~,0,<method 'release' of '_thread.lock' objects>
~:0:<method 'locked' of '_thread.lock' objects>,51103,0.0029754,5.8223587656301976e-08,0.0029754,5.8223587656301976e-08,~,0,<method 'locked' of '_thread.lock' objects>
~:0:<method '__enter__' of '_thread.lock' objects>,12751,0.0030216,2.3696964943925967e-07,0.0030216,2.3696964943925967e-07,~,0,<method '__enter__' of '_thread.lock' objects>
~:0:<method '__exit__' of '_thread.lock' objects>,25502,0.0036489,1.4308289545917969e-07,0.0036489,1.4308289545917969e-07,~,0,<method '__exit__' of '_thread.lock' objects>
~:0:<method 'acquire' of '_thread.RLock' objects>,114,3.12e-05,2.736842105263158e-07,3.12e-05,2.736842105263158e-07,~,0,<method 'acquire' of '_thread.RLock' objects>
~:0:<method 'release' of '_thread.RLock' objects>,114,1.58e-05,1.385964912280702e-07,1.58e-05,1.385964912280702e-07,~,0,<method 'release' of '_thread.RLock' objects>
~:0:<method '__exit__' of '_thread.RLock' objects>,12751,0.0026278,2.0608579719237708e-07,0.0026278,2.0608579719237708e-07,~,0,<method '__exit__' of '_thread.RLock' objects>
~:0:<built-in method _thread.start_new_thread>,12751,0.3819035,2.9950866598698142e-05,0.3819035,2.9950866598698142e-05,~,0,<built-in method _thread.start_new_thread>
~:0:<built-in method _thread.allocate_lock>,25604,0.0527368,2.059709420403062e-06,0.0527368,2.059709420403062e-06,~,0,<built-in method _thread.allocate_lock>
~:0:<built-in method _thread.get_ident>,25606,0.0040203,1.5700617042880575e-07,0.0040203,1.5700617042880575e-07,~,0,<built-in method _thread.get_ident>
~:0:<built-in method time.time>,155,9.7e-05,6.258064516129032e-07,9.7e-05,6.258064516129032e-07,~,0,<built-in method time.time>
~:0:<built-in method time.process_time>,102,0.0002858,2.8019607843137254e-06,0.0002858,2.8019607843137254e-06,~,0,<built-in method time.process_time>
~:0:<method 'write' of '_io.TextIOWrapper' objects>,52,0.0001549,2.978846153846154e-06,0.00033170000000000004,6.378846153846154e-06,~,0,<method 'write' of '_io.TextIOWrapper' objects>
~:0:<method 'read' of '_io.TextIOWrapper' objects>,1,8.55e-05,8.55e-05,0.00010240000000000001,0.00010240000000000001,~,0,<method 'read' of '_io.TextIOWrapper' objects>
~:0:<method 'flush' of '_io.TextIOWrapper' objects>,53,0.0020427,3.854150943396227e-05,0.0020427,3.854150943396227e-05,~,0,<method 'flush' of '_io.TextIOWrapper' objects>
